Case,Platform,Publisher,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,VideoURL,Animation,Filters,Decorum_Z,Language_Z
64.0,YouTube Shorts,CNN,11/1/23,1700,194,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,Legacy,Indicted senator attends classified briefing,0,0,0.5,0.25
65.0,YouTube Shorts,CNN,11/1/23,5600,2200,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,Legacy,Israel official defends strike on refugee camp,0,0,0.5,0.25
66.0,YouTube Shorts,CNN,11/1/23,12000,1600,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,Legacy,Trump Jr. pivots blame in testimony ,0,0,0.5,0.25
67.0,YouTube Shorts,CNN,11/1/23,1000,57,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,Legacy,Hall of fame coach Bob Knight dies at 83,0,0,0.5,0.25
68.0,YouTube Shorts,CNN,11/2/23,2900,716,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,Legacy,Rabbi confronts President Biden,1,0,0.0,0.0
69.0,YouTube Shorts,CNN,11/2/23,3000,571,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,,1.0,1.0,2.0,1.0,Legacy,Explosions erupt over Gaza,1,0,,0.0
70.0,YouTube Shorts,CNN,11/2/23,18000,1800,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,Legacy,Tense exchanges shared during Eric Trump’s testimony - YouTube,1,0,0.0,0.0
71.0,Instagram Reels,CNN,11/1/23,8236,1846,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,Legacy,"Injured Palestinians have begun arriving in Egypt, officials say…",1,0,0.0,0.0
72.0,Instagram Reels,CNN,11/1/23,233774,2775,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,Legacy,After a mother noticed one of her son’s eyes appeared to be black...,1,0,0.0,0.0
73.0,Instagram Reels,CNN,11/1/23,13501,5565,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,Legacy,An Israeli strike on Gaza’s densely populated Jabalya…,1,0,0.0,0.0
74.0,Instagram Reels,CNN,11/1/23,41548,8698,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,Legacy,CNN’s Salma Abdelaziz reports on Tuesday’s airstrike…,1,0,0.0,0.0
75.0,Instagram Reels,CNN,11/1/23,23289,261,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,0.0,Legacy,A collision involving a truck with a trailer full of fireworks gave…,1,0,0.25,0.25
76.0,Instagram Reels,CNN,11/2/23,18076,3573,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,5.0,2.0,2.0,1.0,2.0,0.0,Legacy,CNN’s Elle Reeve visits US college campuses and speaks…,1,0,0.25,0.25
77.0,Instagram Reels,CNN,11/2/23,9341,261,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,,3.0,3.0,3.0,1.0,Legacy,Miami-Dade Fire Rescue assisted the Broward County Sheriff’s office with report of a downed,1,0,,0.5
78.0,TikTok,CNN,11/1/23,29100,402,1676.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,Legacy,Princess Leonor of Spain swore allegiance to the Spanish constitution…,1,0,0.25,0.0
79.0,TikTok,CNN,11/1/23,3005,144,114.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,0.0,Legacy,"CNN's Manu Raju asks Sen. Bob Menendez (D-NJ), who prosecutors…",0,0,0.0,0.0
80.0,TikTok,CNN,11/1/23,15800,70,552.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,4.0,2.0,1.0,7.0,1.0,1.0,Legacy,After the mother of a 5-month-old noticed one of his eyes appeared to be black…,0,0,0.25,0.0
81.0,TikTok,CNN,11/1/23,3310,1765,264.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,Legacy,An Israeli strike on Gaza's densely populated Jabalya refugee camp left…,1,0,0.0,0.0
82.0,TikTok,CNN,11/1/23,10300,1993,962.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,Legacy,CNN's Salma Abdelaziz reports on Tuesday's airstrike…,1,0,0.25,0.0
