,STORYNUMBER,CODER,YEAR,PUBLICATIONDATE,URL,PUBLISHER,STORYTYPE,STORYTOPIC,STORYGENERICFRAMESDOMINANT,STORYEMOTIONALFRAMES,STORYCONTAINSFALSESTATEMENT,STORYCLAIMSANOTHERSOURCEISFALSE,STORYFACTCHECKSTWEET,SENSATIONALISM,src_expert,src_opponent,src_otherpolitician,src_privatecitizen,src_media,src_other,NUMBEROFTWEETSBYCANDIDATES,NUMBEROFTWEETSFROMOTHERS,TWEETBY,TWEETPRESENTATION,TWEETGENERICFRAMESDOMINANT,TWEETEMOTIONALFRAMES,TWEETCONTAINSFALSESTATEMENT,TWEETCLAIMSSOMETHINGELSEISFALSE,TWEETTOPIC,TWEETROLETOTHESTORY,STORYROLETOTWEET,filter_$,SRC_TOTAL,PUBLISHERYEAR
396,1710,1,2016,,https://www.foxnews.com/politics/kaine-the-interrupter-hit-for-debate-demeanor,fox,soft news,campaign event or info,conflict,negative,no,no,no,no,no,yes,yes,no,yes,yes,2,0,trump,embedded,human interest,positive,no,no,campaign event or info,illustration,neutral,,,fox2016
397,1710,1,2016,,https://www.foxnews.com/politics/kaine-the-interrupter-hit-for-debate-demeanor,fox,soft news,campaign event or info,conflict,negative,no,no,no,no,no,no,no,no,no,no,,,biden,embedded,human interest,positive,no,no,campaign event or info,illustration,neutral,,,fox2016
398,1711,1,2016,,https://www.foxnews.com/politics/media-rigging-election-press-hits-back-hard-at-trumps-rhetoric,fox,soft news,campaign event or info,conflict,negative,no,no,no,no,no,no,no,no,no,no,2,0,trump,cited,conflict,negative,yes,no,media,non-primary source,neutral,,,fox2016
399,1711,1,2016,,https://www.foxnews.com/politics/media-rigging-election-press-hits-back-hard-at-trumps-rhetoric,fox,soft news,campaign event or info,conflict,negative,no,no,no,no,no,no,no,no,no,no,,,trump,cited,conflict,negative,yes,no,media,non-primary source,neutral,,,fox2016
400,1713,1,2016,,https://www.foxnews.com/politics/north-carolina-gop-headquarters-firebombed,fox,hard news,campaign event or info,conflict,negative,no,no,no,no,no,yes,yes,no,no,no,2,1,trump,cited,human interest,positive,no,no,other,non-primary source,neutral,,,fox2016
401,1713,1,2016,,https://www.foxnews.com/politics/north-carolina-gop-headquarters-firebombed,fox,hard news,campaign event or info,conflict,negative,no,no,no,no,no,no,no,no,no,no,,,biden,cited,human interest,positive,no,no,other,non-primary source,neutral,,,fox2016
402,1714,1,2016,,https://www.foxnews.com/politics/obama-mixes-talk-of-mean-tweets-politics-on-jimmy-kimmel,fox,soft news,attack,conflict,negative,no,no,no,no,no,no,yes,no,yes,no,1,0,trump,cited,conflict,negative,yes,no,attack,trigger,neutral,,,fox2016
403,1715,1,2016,,https://www.foxnews.com/politics/pence-says-gennifer-flowers-will-not-attend-trump-clinton-debate,fox,soft news,campaign event or info,conflict,negative,no,no,no,no,no,yes,no,no,no,no,1,0,pence,cited,conflict,3,no,no,scandal,illustration,neutral,,,fox2016
404,1717,1,2016,,https://www.foxnews.com/politics/plane-carrying-pence-skids-off-runway-at-laguardia-airport,fox,hard news,other,human interest,3,no,no,no,no,yes,yes,yes,no,yes,no,2,3,pence,embedded,human interest,positive,no,no,other,non-primary source,neutral,,,fox2016
405,1717,1,2016,,https://www.foxnews.com/politics/plane-carrying-pence-skids-off-runway-at-laguardia-airport,fox,hard news,other,human interest,3,no,no,no,no,no,no,no,no,no,no,,,biden,embedded,human interest,positive,no,no,other,non-primary source,neutral,,,fox2016
406,1718,1,2016,,https://www.foxnews.com/politics/team-trump-relentless-on-saying-media-rigging-election-but-vows-to-accept-results,fox,soft news,media,conflict,negative,no,no,no,no,no,yes,no,no,yes,no,2,0,trump,cited,conflict,negative,yes,yes,media,illustration,neutral,,,fox2016
407,1718,1,2016,,https://www.foxnews.com/politics/team-trump-relentless-on-saying-media-rigging-election-but-vows-to-accept-results,fox,soft news,media,conflict,negative,no,no,no,no,no,no,no,no,no,no,,,trump,cited,conflict,negative,yes,yes,media,illustration,neutral,,,fox2016
408,1720,1,2016,,https://www.foxnews.com/politics/trump-appears-to-brush-off-powells-criticisms-revealed-in-email-leak,fox,soft news,attack,conflict,negative,no,no,no,no,no,yes,yes,no,no,no,1,0,trump,cited,conflict,negative,no,no,attack,illustration,neutral,,,fox2016
409,1721,1,2016,,https://www.foxnews.com/politics/trump-camp-returns-fire-targets-clintons-treatment-of-women,fox,soft news,attack,conflict,negative,no,yes,yes,no,no,yes,yes,no,no,yes,4,0,trump,embedded,conflict,negative,no,no,attack,illustration,neutral,,,fox2016
410,1721,1,2016,,https://www.foxnews.com/politics/trump-camp-returns-fire-targets-clintons-treatment-of-women,fox,soft news,attack,conflict,negative,no,yes,yes,no,no,no,no,no,no,no,,,trump,embedded,conflict,negative,yes,no,attack,illustration,neutral,,,fox2016
411,1721,1,2016,,https://www.foxnews.com/politics/trump-camp-returns-fire-targets-clintons-treatment-of-women,fox,soft news,attack,conflict,negative,no,yes,yes,no,no,no,no,no,no,no,,,trump,embedded,conflict,negative,yes,no,attack,illustration,neutral,,,fox2016
412,1721,1,2016,,https://www.foxnews.com/politics/trump-camp-returns-fire-targets-clintons-treatment-of-women,fox,soft news,attack,conflict,negative,no,yes,yes,no,no,no,no,no,no,no,,,trump,paraphrased,conflict,negative,no,no,attack,illustration,neutral,,,fox2016
413,1722,1,2016,,https://www.foxnews.com/politics/trump-campaign-has-raised-nearly-18-million-since-debate,fox,hard news,campaign event or info,economic,positive,no,no,no,no,no,no,no,no,no,yes,1,1,trump,cited,economic,positive,no,no,campaign event or info,illustration,neutral,,,fox2016
414,1724,1,2016,,https://www.foxnews.com/politics/trump-on-ryan-i-dont-want-his-support-i-dont-care-about-his-support,fox,soft news,attack,conflict,negative,no,no,no,no,no,yes,no,no,yes,no,1,,trump,cited,conflict,negative,no,no,attack,illustration,neutral,,,fox2016
